Rk,Name,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
22,Len Barker,21,TEX,AL,4,1,.800,2.66,15,3,7,0,0,1,47.1,36,15,14,1,24,3,51,1,0,5,196,156,2.44,1.268,6.8,0.2,4.6,9.7,2.13,barkele01
23,Mike Barlow,29,CAL,AL,4,2,.667,4.58,20,1,6,0,0,1,59.0,53,33,30,3,27,6,25,4,1,1,250,86,4.13,1.356,8.1,0.5,4.1,3.8,0.93,barlomi01
24,Jim Barr,29,SFG,NL,12,16,.429,4.76,38,38,0,6,2,0,234.1,286,130,124,18,56,4,97,3,2,2,1011,82,3.67,1.459,11.0,0.7,2.2,3.7,1.73,barrji01
25,Francisco Barrios,24,CHW,AL,14,7,.667,4.12,33,31,1,9,0,0,231.1,241,117,106,22,58,1,119,5,0,4,982,100,3.76,1.293,9.4,0.9,2.3,4.6,2.05,barrifr01
26,Mike Beard*,27,ATL,NL,0,0,,9.64,4,0,2,0,0,0,4.2,14,11,5,3,2,0,1,0,0,0,33,50,11.95,3.429,27.0,5.8,3.9,1.9,0.50,beardmi01
27,Gary Beare,24,MIL,AL,3,3,.500,6.44,17,6,6,0,0,0,58.2,63,46,42,6,38,3,32,1,0,4,273,64,4.97,1.722,9.7,0.9,5.8,4.9,0.84,bearega01
28,Victor Bernal,23,SDP,NL,1,1,.500,5.31,15,0,6,0,0,0,20.1,23,13,12,4,9,2,6,0,0,0,89,68,6.03,1.574,10.2,1.8,4.0,2.7,0.67,bernavi01
29,Jim Bibby,32,CLE,AL,12,13,.480,3.57,37,30,5,9,2,2,206.2,197,100,82,17,73,2,141,4,4,12,876,111,3.56,1.306,8.6,0.7,3.2,6.1,1.93,bibbyji01
30,Larry Biittner*,30,CHC,NL,0,0,,40.50,1,0,1,0,0,0,1.1,5,6,6,3,1,0,3,0,0,0,10,14,29.74,4.500,33.8,20.3,6.8,20.3,3.00,biittla01
31,Jack Billingham,34,CIN,NL,10,10,.500,5.23,36,23,8,3,2,0,161.2,195,105,94,16,56,9,76,10,0,7,724,75,4.31,1.553,10.9,0.9,3.1,4.2,1.36,billija01
32,Doug Bird,27,KCR,AL,11,4,.733,3.88,53,5,31,0,0,14,118.1,120,52,51,14,29,4,83,3,0,3,490,105,3.69,1.259,9.1,1.1,2.2,6.3,2.86,birddo01
33,Vida Blue*,27,OAK,AL,14,19,.424,3.83,38,38,0,16,1,0,279.2,284,138,119,23,86,5,157,1,0,11,1184,104,3.62,1.323,9.1,0.7,2.8,5.1,1.83,bluevi01
34,Bert Blyleven,26,TEX,AL,14,12,.538,2.72,30,30,0,15,5,0,234.2,181,81,71,20,69,1,182,7,0,8,935,151,3.27,1.065,6.9,0.8,2.6,7.0,2.64,blylebe01
35,Tommy Boggs,21,TEX,AL,0,3,.000,5.93,6,6,0,0,0,0,27.1,40,18,18,1,12,0,15,1,0,1,130,70,3.54,1.902,13.2,0.3,4.0,4.9,1.25,boggsto01
36,Bill Bonham,28,CHC,NL,10,13,.435,4.36,34,34,0,1,0,0,214.2,207,111,104,15,82,16,134,3,2,3,915,101,3.59,1.346,8.7,0.6,3.4,5.6,1.63,bonhabi01
37,Pedro Borbon,30,CIN,NL,10,5,.667,3.19,73,0,54,0,0,18,127.0,131,48,45,7,24,4,48,3,0,2,525,123,3.34,1.220,9.3,0.5,1.7,3.4,2.00,borbope01
38,Larry Bradford*,27,ATL,NL,0,0,,3.38,2,0,0,0,0,0,2.2,3,1,1,1,0,0,1,0,0,0,11,149,6.86,1.125,10.1,3.4,0.0,3.4,,bradfla01
39,Ken Brett*,28,TOT,AL,13,14,.481,4.53,34,34,0,7,0,0,224.2,258,120,113,25,53,0,80,4,2,6,950,88,4.23,1.384,10.3,1.0,2.1,3.2,1.51,brettke01
